SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL21026,41,25,22,16,38,28,31,9,0,215
SAL21027,21,32,12,12,23,21,23,15,0,155
SAL21028,0,0,0,3,3,4,0,4,6,15
SAL21029,10,9,5,6,7,11,6,7,0,66
SAL21030,0,4,0,0,0,3,3,0,0,17
SAL21031,3,0,0,3,0,9,3,0,0,23
SAL21032,16,8,6,11,12,8,3,0,0,71
SAL21033,4,0,0,4,0,0,0,0,0,11
SAL21034,3,0,0,3,9,3,4,5,0,29
SAL21035,0,0,3,0,0,0,0,0,0,7
SAL21036,4,0,0,0,0,4,3,3,0,14
SAL21037,0,4,0,0,0,3,13,0,0,17
SAL21038,54,39,20,47,73,72,77,47,5,431
SAL21039,41,23,23,15,39,58,50,34,4,279
SAL21040,14,12,8,17,5,10,4,0,0,75
SAL21041,19,8,10,15,18,31,29,6,0,131
SAL21042,8,10,5,5,10,6,8,0,3,63
SAL21043,15,25,13,10,13,29,3,15,3,123
SAL21044,0,0,0,0,8,0,0,0,0,13
SAL21045,198,97,90,135,131,164,171,57,3,1049
SAL21046,13,0,10,5,10,19,13,6,0,75
SAL21047,4152,2842,5227,3693,2428,2071,1381,1148,843,23792
SAL21048,44,25,17,24,39,49,37,16,7,256
SAL21049,4,0,4,3,0,3,0,0,0,21
SAL21050,57,39,14,39,48,37,46,7,5,297
SAL21051,14,10,20,8,23,25,14,5,3,120
SAL21052,5,4,9,4,3,11,6,0,0,45
SAL21053,11,6,9,7,18,24,23,8,0,102
SAL21054,14,17,11,20,63,114,83,32,4,356
SAL21055,40,25,22,26,21,40,33,8,0,213
SAL21056,308,282,374,254,290,274,253,137,43,2217
SAL21057,11,7,10,8,14,29,13,10,0,102
SAL21058,1596,1016,1404,1163,1041,1077,960,639,320,9220
SAL21059,53,13,21,34,26,49,32,10,6,253
SAL21060,6,0,0,0,3,7,10,5,0,37
SAL21061,0,0,3,0,0,3,0,0,0,6
SAL21062,0,6,0,8,8,10,9,0,4,50
SAL21063,9,10,7,8,14,20,13,11,0,91
SAL21064,19,7,7,20,16,36,28,9,0,137
SAL21065,0,0,4,5,3,6,9,0,0,31
SAL21066,16,20,10,15,14,35,34,6,4,141
SAL21067,0,6,11,7,8,19,8,5,0,62
SAL21068,41,20,15,25,28,49,54,28,6,269
SAL21069,147,88,82,90,92,109,67,31,0,718
SAL21070,0,3,0,0,3,4,3,0,0,19
SAL21071,53,26,31,25,44,30,19,3,3,236
SAL21072,38,28,27,17,55,37,30,12,0,237
SAL21073,282,132,127,199,211,220,150,59,11,1393
SAL21074,71,19,26,54,31,55,42,14,0,324
SAL21075,66,18,26,33,30,40,42,40,6,295
SAL21076,4,5,5,0,5,10,0,0,0,35
SAL21077,30,19,28,23,44,77,60,35,7,328
SAL21078,12,10,10,5,16,21,21,3,0,90
SAL21079,586,378,331,415,484,299,216,200,72,2971
SAL21080,4,0,0,0,0,0,0,0,0,8
SAL21081,0,0,0,0,3,0,11,0,0,18
SAL21082,0,0,0,5,0,6,8,4,0,23
SAL21083,9,11,0,3,7,13,0,0,0,45
SAL21084,118,75,60,82,94,140,81,29,10,685
SAL21085,0,0,0,0,0,0,0,0,0,0
SAL21086,0,0,0,0,0,0,0,0,0,10
SAL21087,25,19,17,18,17,11,20,3,0,132
SAL21088,39,33,19,25,37,47,38,24,3,261
SAL21089,148,82,120,115,163,208,222,86,17,1168
SAL21090,12,0,3,10,7,25,19,5,0,88
SAL21091,12,5,12,5,6,9,4,0,0,54
SAL21092,91,50,24,38,68,52,46,20,5,385
SAL21093,0,0,0,0,0,0,0,0,0,0
SAL21094,9,0,3,5,13,14,13,4,0,60
SAL21095,0,0,0,0,3,3,0,0,0,10
SAL21096,0,3,0,0,0,3,4,0,0,13
SAL21097,6,0,0,0,0,3,0,4,0,19
SAL21098,55,34,24,44,70,70,86,39,3,425
SAL21099,4,3,0,0,4,0,0,0,0,13
SAL21100,5,9,5,7,6,17,9,14,0,71
SAL21101,132,64,44,90,86,92,60,34,7,623
SAL21102,10,8,6,5,13,0,17,0,0,60
SAL21103,10,5,6,10,3,7,5,0,0,52
SAL21104,3920,2183,2330,3219,2902,2443,2299,1250,507,21070
SAL21105,4519,2897,3128,3056,2857,2574,1545,568,120,21274
SAL21106,11,8,3,8,12,11,3,5,0,58
SAL21107,22,12,4,17,12,20,19,7,0,113
SAL21108,13,18,7,5,17,14,5,3,9,86
SAL21109,20,16,6,17,21,24,18,8,3,131
SAL21110,19,13,12,16,23,29,32,15,5,157
SAL21111,0,0,0,0,0,4,0,0,0,4
SAL21112,5,6,4,3,8,9,9,0,0,44
SAL21113,15,5,0,13,3,8,7,3,0,61
SAL21114,2298,1903,2126,1783,1657,1626,1625,1122,722,14869
SAL21115,157,142,76,91,159,165,96,64,11,966
SAL21116,71,19,19,49,40,54,48,27,9,330
SAL21117,99,53,47,60,76,95,87,45,8,578
SAL21118,32,18,15,27,44,39,20,11,3,208
SAL21119,0,0,0,0,0,0,0,0,0,0
SAL21120,0,0,0,0,0,6,9,0,0,20
SAL21121,59,64,33,36,78,49,41,15,8,388
SAL21122,10,9,3,3,8,7,6,5,0,60
SAL21123,266,162,129,150,178,198,134,43,8,1276
SAL21124,1192,653,1134,900,716,588,447,415,220,6269
SAL21125,2228,1440,1722,1455,1290,1377,995,546,294,11355
SAL21126,34,9,16,24,19,15,13,10,3,136
SAL21127,75,36,94,62,50,74,78,32,10,495
SAL21128,26,12,16,11,27,27,21,14,3,157
SAL21129,1738,1153,1161,1047,1174,1368,1362,928,426,10346
SAL21130,1114,759,1062,841,782,774,586,358,241,6518
SAL21131,2341,1776,1060,1531,2262,2054,1410,812,272,13518
SAL21132,927,549,599,811,774,632,397,263,119,5069
SAL21133,5600,3739,4243,3655,3134,3051,1741,742,190,26082
SAL21134,36,14,9,26,19,23,21,9,3,155
SAL21135,14,3,7,15,17,14,13,3,0,87
SAL21136,12,10,6,10,4,14,8,0,0,75
SAL21137,189,99,96,123,140,164,144,75,15,1038
SAL21138,39,18,22,25,38,75,55,13,5,291
SAL21139,222,145,74,120,162,139,93,48,10,1011
SAL21140,3589,1572,2054,2144,1398,862,599,223,28,12463
SAL21141,0,12,3,5,13,17,15,3,0,62
SAL21142,83,28,60,57,81,96,57,17,0,488
SAL21143,29,19,15,17,35,32,22,18,7,184
SAL21144,31,14,10,26,25,26,33,7,0,167
SAL21145,1896,1059,1351,1214,1177,1202,1276,895,302,10369
SAL21146,3,0,5,3,0,13,6,0,0,27
SAL21147,7,13,4,7,9,14,15,5,0,83
SAL21148,321,156,121,186,232,223,144,57,12,1443
SAL21149,0,0,4,0,3,4,3,0,0,22
SAL21150,51,39,39,26,47,63,17,16,0,311
SAL21151,0,0,0,0,0,0,5,0,0,6
SAL21152,2748,3507,4984,3183,2598,2111,1741,1050,409,22322
SAL21153,2202,1942,2922,2121,1886,1517,1183,745,319,14834
SAL21154,15,3,13,0,3,8,7,3,0,55
SAL21155,27,12,20,22,19,37,25,23,8,189
SAL21156,302,156,130,184,235,265,193,74,14,1552
SAL21157,57,34,30,40,27,51,39,8,0,289
SAL21158,1248,760,773,877,1003,1131,906,634,259,7589
SAL21159,31,22,22,20,27,30,26,11,4,189
SAL21160,337,185,205,255,390,539,552,371,120,2962
SAL21161,180,59,100,115,113,105,110,21,4,811
SAL21162,3,0,3,0,3,4,10,0,0,22
SAL21163,576,344,271,382,528,317,246,120,43,2826
SAL21164,31,20,44,17,38,35,33,11,5,238
SAL21165,1925,1123,1017,1493,1471,1131,942,602,222,9933
SAL21166,9,7,11,4,15,20,25,6,5,108
SAL21167,1235,667,1232,1219,909,782,605,472,238,7360
SAL21168,1122,727,1449,1073,792,793,477,216,124,6758
SAL21169,893,670,1056,716,580,614,427,208,85,5252
SAL21170,14,14,10,8,5,10,15,5,0,75
SAL21171,7,3,4,3,8,22,13,6,0,75
SAL21172,81,46,36,69,118,107,112,44,16,631
SAL21173,24,23,25,37,72,72,76,37,8,368
SAL21174,603,375,654,506,415,391,283,187,92,3507
SAL21175,70,51,36,51,47,51,36,14,0,365
SAL21176,32,13,10,18,33,37,34,11,0,178
SAL21177,0,8,0,0,3,0,0,0,0,14
SAL21178,15,23,8,4,22,32,15,10,0,130
SAL21179,323,217,213,199,234,288,331,173,68,2050
SAL21180,3,8,3,0,3,14,0,6,0,39
SAL21181,319,152,180,191,198,290,278,124,69,1815
SAL21182,3,7,0,3,7,4,11,5,0,36
SAL21183,0,4,0,0,3,8,4,4,0,18
SAL21184,15,15,8,10,26,16,17,4,0,122
SAL21185,2211,1189,1602,1891,1855,1322,1043,603,291,12016
SAL21186,15,9,9,12,29,28,34,11,0,151
SAL21187,3915,2783,2482,2731,2665,2372,2031,1327,435,20736
SAL21188,6,6,0,3,4,0,3,0,0,29
SAL21189,24,20,16,24,26,20,29,15,0,171
SAL21190,15,4,12,20,15,26,10,8,0,99
SAL21191,54,35,19,31,51,53,46,31,5,330
SAL21192,73,22,34,29,54,35,26,20,3,290
SAL21193,3383,2792,2155,2406,2927,2010,1127,443,90,17331
SAL21194,3,0,0,5,7,0,3,0,0,21
SAL21195,109,639,217,98,41,16,0,0,0,1124
SAL21196,113,68,70,81,103,105,92,44,7,676
SAL21197,0,0,0,0,3,9,9,0,0,28
SAL21198,3,0,3,0,8,0,9,3,0,31
SAL21199,9,4,0,9,11,5,0,5,0,36
SAL21200,15,10,0,12,7,10,11,4,5,70
SAL21201,92,48,63,66,60,117,130,73,49,694
SAL21202,231,122,60,159,159,95,71,15,3,914
SAL21203,7071,4855,5350,5094,4708,4908,3424,1451,355,37216
SAL21204,6,5,0,5,11,10,0,0,0,44
SAL21205,14,12,5,10,8,21,13,6,0,93
SAL21206,2763,1730,2097,1689,1595,1842,1674,1173,570,15134
SAL21207,12,32,41,16,21,10,6,0,3,128
SAL21208,0,5,0,6,11,11,3,0,4,34
SAL21209,19,10,0,7,13,11,7,0,0,67
SAL21210,0,0,0,0,0,0,0,0,0,0
SAL21211,63,41,12,7,7,16,12,3,0,158
SAL21212,0,0,0,0,0,0,0,4,0,5
SAL21213,7,6,3,8,4,14,9,4,0,63
SAL21214,1183,959,1261,1091,1098,856,532,371,214,7563
SAL21215,64,46,38,39,51,62,31,16,5,352
SAL21216,0,4,0,6,6,0,0,3,0,23
SAL21217,3,0,5,0,0,10,0,0,0,20
SAL21218,324,263,359,304,255,185,142,78,38,1949
SAL21219,947,403,601,526,376,382,262,74,32,3585
SAL21220,13,9,4,8,7,4,6,0,0,46
SAL21221,34,20,16,22,35,33,40,5,3,206
SAL21222,104,16,19,72,44,30,26,14,0,320
SAL21223,708,439,353,450,534,527,372,155,26,3554
SAL21224,6,0,0,4,5,6,8,3,0,28
SAL21225,4,0,5,3,11,6,16,5,0,51
SAL21226,13,7,5,3,7,0,9,0,0,41
SAL21227,16,10,13,15,12,10,12,5,0,80
SAL21228,54,26,22,35,46,48,41,25,5,304
SAL21229,171,82,69,117,169,260,359,142,28,1391
SAL21230,60,33,26,34,51,70,41,20,8,346
SAL21231,114,71,69,76,117,130,157,90,73,886
SAL21232,34,8,5,17,16,7,4,0,0,96
SAL21233,107,55,86,71,79,120,56,25,8,601
SAL21234,434,179,152,265,260,251,151,52,7,1746
SAL21235,1020,482,451,661,680,989,1279,733,245,6526
SAL21236,194,111,50,91,139,128,151,40,6,900
SAL21237,237,223,131,136,227,304,250,146,45,1692
SAL21238,31,48,9,22,46,26,29,14,6,240
SAL21239,23,4,20,22,9,22,9,0,0,118
SAL21240,8,0,6,3,0,0,0,0,0,16
SAL21241,164,142,183,143,142,155,123,66,46,1163
SAL21242,58,45,35,30,59,53,57,26,7,365
SAL21243,14,15,8,12,17,16,13,3,0,100
SAL21244,21,7,8,13,15,9,15,11,0,84
SAL21245,1155,724,731,702,840,742,636,346,102,5977
SAL21246,2017,1596,1921,1896,1799,1736,1348,686,377,13374
SAL21247,597,529,312,423,589,574,418,228,91,3762
SAL21248,326,254,488,318,198,256,179,122,47,2187
SAL21249,35,13,17,17,22,21,23,17,0,161
SAL21250,515,268,483,230,147,125,100,27,13,1907
SAL21251,0,0,0,0,4,3,3,3,0,28
SAL21252,13,10,8,17,20,19,14,6,0,106
SAL21253,33,17,18,36,35,86,107,43,14,382
SAL21254,897,428,430,640,666,522,409,127,19,4151
SAL21255,0,0,0,0,5,3,0,0,0,16
SAL21256,33,30,17,20,22,20,22,11,5,185
SAL21257,9,7,4,5,5,7,3,0,0,49
SAL21258,17,12,12,8,15,26,26,8,0,117
SAL21259,8,3,0,3,10,6,9,3,0,46
SAL21260,14,5,11,5,4,22,16,5,0,76
SAL21261,94,52,51,65,81,122,91,23,3,584
SAL21262,24,7,10,14,17,29,16,3,0,124
SAL21263,7,9,0,8,0,4,0,0,0,34
SAL21264,0,9,0,5,0,5,0,0,0,18
SAL21265,59,33,36,33,55,108,88,33,24,476
SAL21266,0,0,0,0,0,0,0,0,0,0
SAL21267,0,0,0,0,0,0,0,0,0,6
SAL21268,4,0,0,3,0,6,3,0,0,17
SAL21269,93,67,41,63,82,116,79,46,12,584
SAL21270,3,5,4,0,9,4,5,0,0,17
SAL21271,6,0,0,8,0,7,3,8,0,26
SAL21272,7,5,0,10,10,31,14,0,0,85
SAL21273,31,36,20,27,41,47,75,47,3,326
SAL21274,0,3,0,0,4,5,0,3,0,20
SAL21275,12,0,7,0,7,9,8,5,0,42
SAL21276,19,21,8,16,22,30,20,9,0,150
SAL21277,143,75,137,88,82,113,147,153,112,1051
SAL21278,0,0,0,0,0,0,0,0,0,0
SAL21279,834,434,232,533,588,440,442,293,62,3862
SAL21280,11,9,10,8,14,14,5,8,0,93
SAL21281,9,0,8,3,8,8,7,0,0,41
SAL21282,173,126,111,110,161,208,251,152,65,1350
SAL21283,14,16,8,15,28,35,35,15,8,161
SAL21284,1598,501,1568,1137,367,230,113,35,7,5548
SAL21285,14,0,0,13,6,4,4,0,0,48
SAL21286,206,138,105,191,223,232,222,87,11,1418
SAL21287,245,115,121,189,234,170,140,62,8,1277
SAL21288,6,5,0,0,6,4,3,0,0,28
SAL21289,18,9,13,11,15,9,11,8,0,89
SAL21290,0,5,0,0,3,0,6,0,0,9
SAL21291,7,0,7,3,3,5,3,0,0,28
SAL21292,13,4,0,4,10,16,28,0,0,74
SAL21293,1832,1123,1492,1269,1176,1340,1469,1133,517,11328
SAL21294,202,201,84,123,197,192,127,67,11,1208
SAL21295,144,82,75,91,107,136,148,71,38,891
SAL21296,7,0,0,8,7,9,12,7,0,53
SAL21297,10,0,0,6,6,0,3,0,0,17
SAL21298,3,0,8,6,8,13,3,6,0,51
SAL21299,0,0,3,0,3,4,4,8,0,29
SAL21300,29,21,13,18,35,23,30,3,0,169
SAL21301,22,20,6,17,31,23,11,8,3,135
SAL21302,21,11,5,11,11,10,20,5,0,94
SAL21303,0,0,0,0,3,6,0,4,0,9
SAL21304,9,0,4,7,4,3,6,5,0,40
SAL21305,3,4,0,0,0,3,0,0,0,15
SAL21306,77,51,54,45,52,77,48,27,15,453
SAL21307,6,6,6,0,5,6,7,0,0,30
SAL21308,24,13,8,17,25,29,11,6,3,120
SAL21309,101,57,47,46,79,81,45,24,4,492
SAL21310,198,136,133,140,133,130,111,37,12,1025
SAL21311,27,12,19,15,23,47,35,12,4,189
SAL21312,561,364,509,432,416,397,383,134,38,3226
SAL21313,13,7,3,9,7,9,3,7,0,57
SAL21314,948,715,559,638,806,828,727,467,224,5906
SAL21315,1514,1144,1249,1157,1145,1455,1341,633,210,9857
SAL21316,2640,1614,1642,1950,2139,1651,1479,1451,514,15078
SAL21317,233,233,206,170,242,290,186,92,16,1668
SAL21318,4,6,9,3,4,12,14,6,0,67
SAL21319,482,236,298,350,352,269,346,281,66,2684
SAL21320,0,0,0,3,4,3,4,0,0,13
SAL21321,17,3,0,16,10,5,15,5,7,76
SAL21322,10,0,21,17,4,3,5,0,0,64
SAL21323,0,0,0,0,3,0,0,5,0,3
SAL21324,7,4,9,0,12,7,3,3,0,44
SAL21325,16,5,6,7,16,11,8,0,0,74
SAL21326,872,808,766,628,656,681,673,478,326,5880
SAL21327,1559,1116,2550,2138,1334,959,666,296,134,10745
SAL21328,646,349,346,381,434,580,612,401,215,3960
SAL21329,5,6,3,0,9,9,8,0,0,44
SAL21330,26,20,27,26,29,51,32,9,8,232
SAL21331,10,10,0,12,10,18,10,0,0,76
SAL21332,23,4,7,18,23,20,11,4,0,118
SAL21333,13,8,5,4,14,19,16,7,0,83
SAL21334,5,13,3,10,10,23,18,8,0,86
SAL21335,4,0,0,5,11,9,9,6,0,36
SAL21336,3705,3463,3169,2829,3436,3154,2468,1491,786,24499
SAL21337,1192,916,664,817,978,891,618,383,163,6620
SAL21338,17,4,8,6,4,5,0,3,0,57
SAL21339,5896,3865,4260,4723,3843,3188,2507,1276,456,30018
SAL21340,1961,989,996,1178,1111,987,801,468,178,8667
SAL21341,36,15,15,27,21,31,21,6,3,170
SAL21342,88,58,26,42,65,74,43,15,4,415
SAL21343,13,9,7,7,4,9,14,6,0,64
SAL21344,102,49,43,54,69,87,45,21,0,483
SAL21345,70,35,39,51,83,128,96,48,18,578
SAL21346,0,0,7,0,0,0,0,0,0,9
SAL21347,451,124,316,259,127,104,80,29,0,1485
SAL21348,29,26,15,13,36,40,27,13,0,195
SAL21349,73,32,30,43,62,68,51,23,3,391
SAL21350,27,3,11,17,21,39,19,17,0,156
SAL21351,31,17,12,18,23,18,23,12,9,165
SAL21352,1766,1112,1141,1075,1199,1046,971,661,246,9207
SAL21353,78,46,34,55,80,77,52,20,6,450
SAL21354,2183,1200,1797,1673,1279,1295,1132,822,324,11699
SAL21355,451,492,271,296,510,503,214,100,22,2862
SAL21356,15,8,6,4,19,29,12,4,0,96
SAL21357,17,9,7,6,14,17,12,4,3,87
SAL21358,293,187,185,224,291,260,162,54,9,1662
SAL21359,64,58,42,46,64,81,40,19,0,413
SAL21360,276,134,154,174,212,171,132,49,9,1305
SAL21361,5,0,7,0,9,17,9,0,0,46
SAL21362,1530,1014,1126,1056,996,1005,991,401,82,8203
SAL21363,448,496,798,494,397,282,192,254,92,3460
SAL21364,19,13,18,12,24,42,48,8,3,190
SAL21365,816,288,652,804,609,345,191,142,83,3920
SAL21366,0,13,6,0,5,5,0,0,0,26
SAL21367,4,0,0,0,4,3,5,0,0,12
SAL21368,93,32,55,48,59,58,53,5,0,406
SAL21369,5,12,0,9,10,29,39,19,4,134
SAL21370,11,4,9,8,6,14,12,3,0,67
SAL21371,0,6,0,0,4,4,9,0,0,22
SAL21372,0,0,0,0,0,0,0,0,0,0
SAL21373,29,17,15,11,38,24,20,8,7,168
SAL21374,1276,919,934,1125,992,900,806,563,129,7645
SAL21375,0,6,0,0,3,7,0,0,0,28
SAL21376,0,0,4,0,3,11,9,0,0,26
SAL21377,39,11,17,13,24,42,28,14,4,188
SAL21378,29,27,23,21,34,37,35,10,0,207
SAL21379,8,6,9,8,8,11,9,4,0,60
SAL21380,920,480,629,507,468,414,321,196,114,4047
SAL21381,9,4,0,9,3,7,3,3,6,47
SAL21382,6,5,0,3,3,3,5,0,0,19
SAL21383,9,0,0,3,0,4,4,0,0,26
SAL21384,161,84,76,110,134,192,203,124,14,1101
SAL21385,42,29,18,41,43,50,46,27,3,305
SAL21386,48,46,17,29,60,85,50,24,7,366
SAL21387,8,0,4,0,0,3,3,4,0,29
SAL21388,95,44,26,55,56,64,47,9,0,397
SAL21389,15,6,0,14,12,13,13,8,0,89
SAL21390,12,0,0,3,7,3,3,11,0,41
SAL21391,0,0,0,0,0,0,0,0,0,0
SAL21392,25,8,10,11,12,21,12,11,3,115
SAL21393,132,120,108,77,103,107,96,72,38,842
SAL21394,8,0,8,3,3,16,18,13,0,66
SAL21395,13,7,3,0,11,21,15,0,0,75
SAL21396,438,220,252,245,265,317,274,130,42,2184
SAL21397,10,16,9,12,13,35,19,18,3,143
SAL21398,12,0,3,9,11,12,11,0,0,63
SAL21399,800,471,513,454,581,682,668,384,195,4749
SAL21400,23,12,10,11,23,10,16,8,0,114
SAL21401,30,15,19,25,26,32,37,11,5,196
SAL21402,36,18,9,9,26,20,12,11,3,134
SAL21403,21,21,16,11,23,28,12,7,4,132
SAL21404,79,32,32,53,38,60,51,11,0,355
SAL21405,22,7,7,12,25,29,25,6,0,134
SAL21406,0,0,0,0,7,6,0,4,0,16
SAL21407,12,9,0,9,12,4,3,6,0,45
SAL21408,0,0,0,0,0,0,0,0,0,5
SAL21409,0,0,0,0,0,0,0,0,0,0
SAL21410,10,0,5,4,5,18,15,6,0,61
SAL21411,2423,1408,1601,1528,1337,1206,805,306,95,10711
SAL21412,1257,816,727,743,896,992,962,691,325,7416
SAL21413,10,4,8,8,9,13,5,5,0,69
SAL21414,1263,674,660,910,1129,989,983,608,284,7513
SAL21415,9,16,7,13,18,25,19,11,0,116
SAL21416,82,43,31,43,55,52,36,23,4,363
SAL21417,18,11,17,11,23,46,32,17,0,179
SAL21418,15,19,14,8,21,16,14,5,6,115
SAL21419,89,35,23,58,45,57,48,21,6,386
SAL21420,74,32,21,33,53,32,33,21,4,304
SAL21421,17,7,3,12,21,29,22,9,0,118
SAL21422,0,0,0,0,0,0,0,0,0,4
SAL21423,0,0,0,0,5,7,0,0,0,6
SAL21424,5,0,0,0,0,3,4,0,0,14
SAL21425,13,12,6,5,13,10,5,0,0,57
SAL21426,22,23,4,18,23,37,24,11,0,162
SAL21427,173,116,109,94,114,156,128,82,12,982
SAL21428,70,20,27,55,46,64,47,31,10,368
SAL21429,60,33,33,43,41,54,90,40,9,408
SAL21430,16,12,7,12,24,35,19,18,0,147
SAL21431,0,0,0,0,0,0,6,0,0,9
SAL21432,0,0,0,0,4,0,0,0,0,3
SAL21433,0,0,0,0,0,0,0,0,0,0
SAL21434,8,0,0,0,5,4,5,0,0,23
SAL21435,239,220,138,148,264,266,250,218,56,1801
SAL21436,3,4,3,6,3,3,3,0,0,22
SAL21437,17,3,4,3,8,15,10,5,0,58
SAL21438,0,0,0,0,0,9,0,8,0,21
SAL21439,0,4,4,0,0,0,4,3,0,22
SAL21440,0,0,3,0,6,9,9,0,0,37
SAL21441,12,7,31,15,12,13,3,0,0,86
SAL21442,10,10,5,0,13,16,4,0,0,70
SAL21443,0,0,0,0,0,0,0,0,0,4
SAL21444,98,82,58,57,117,143,156,82,9,802
SAL21445,0,0,0,0,0,0,0,0,0,0
SAL21446,0,0,0,0,0,0,0,0,0,0
SAL21447,402,292,169,261,391,431,440,317,182,2878
SAL21448,0,0,4,0,0,3,0,0,0,3
SAL21449,753,381,398,489,495,773,1052,598,197,5145
SAL21450,126,66,59,77,112,114,55,26,0,621
SAL21451,24,10,4,10,21,27,22,12,4,138
SAL21452,4265,2757,3495,3361,2759,2308,2122,1534,630,23219
SAL21453,8,0,0,0,0,15,10,9,0,49
SAL21454,70,53,24,37,65,59,60,20,0,398
SAL21455,19,15,16,12,21,37,14,13,0,143
SAL21456,526,306,305,338,379,385,339,145,25,2743
SAL21457,35,18,14,17,30,32,37,14,4,200
SAL21458,9,8,4,9,3,3,5,6,0,49
SAL21459,548,291,468,311,297,282,226,98,43,2556
SAL21460,14,4,17,3,6,23,14,4,0,94
SAL21461,0,0,3,0,0,3,11,0,0,23
SAL21462,3,10,47,71,78,50,43,24,4,336
SAL21463,5,0,3,0,0,3,5,0,0,23
SAL21464,19,10,11,9,14,14,7,10,0,100
SAL21465,0,4,6,7,6,12,3,0,4,52
SAL21466,16,7,6,5,15,18,26,6,0,100
SAL21467,4697,2749,3076,3318,3205,2973,2136,1079,357,23588
SAL21468,256,213,86,164,251,189,133,45,21,1346
SAL21469,3669,2120,3013,2857,2540,2001,1715,803,291,19014
SAL21470,20,13,5,12,10,21,17,12,0,110
SAL21471,41,13,18,27,23,36,25,12,0,200
SAL21472,9,10,6,11,14,19,12,4,0,82
SAL21473,487,331,347,283,341,318,272,96,20,2495
SAL21474,43,16,21,36,35,51,34,11,0,247
SAL21475,20,3,10,15,16,18,5,0,0,87
SAL21476,751,625,1244,748,485,466,277,118,50,4760
SAL21477,12,6,10,11,17,42,18,3,0,119
SAL21478,0,3,5,0,4,3,0,0,0,16
SAL21479,0,0,0,0,0,4,0,0,0,14
SAL21480,0,0,0,0,0,0,4,0,0,8
SAL21481,0,3,0,0,7,4,3,0,0,20
SAL21482,67,40,35,43,56,62,61,36,4,396
SAL21483,0,3,3,0,9,9,12,4,3,43
SAL21484,31,30,16,23,27,28,12,3,0,167
SAL21485,7,9,4,6,5,14,9,4,0,65
SAL21486,100,58,46,42,82,90,75,63,10,576
SAL21487,38,28,27,34,31,52,31,11,7,251
SAL21488,343,137,210,231,166,98,78,33,11,1317
SAL21489,5,3,5,9,7,5,9,3,0,47
SAL21490,1072,586,556,680,598,754,844,557,217,5869
SAL21491,30,12,5,15,17,17,32,5,3,141
SAL21492,117,75,52,63,100,85,80,26,9,616
SAL21493,2405,1470,1630,1630,1671,1644,1518,988,320,13272
SAL21494,0,0,0,0,0,0,0,0,0,0
SAL21495,18,0,12,17,0,18,7,0,0,66
SAL21496,272,132,128,167,166,181,96,29,7,1181
SAL21497,42,28,25,37,44,38,52,12,7,284
SAL21498,0,0,0,0,3,0,6,0,0,7
SAL21499,0,0,0,0,0,3,0,0,0,9
SAL21500,19,11,12,11,12,14,11,3,5,94
SAL21501,9,10,3,7,10,25,19,6,0,85
SAL21502,21,13,11,11,22,14,10,3,0,112
SAL21503,23,5,6,6,13,8,9,0,0,84
SAL21504,2975,2140,2302,2132,2405,2194,1708,1068,425,17348
SAL21505,16,3,11,10,9,13,14,13,0,92
SAL21506,27,14,6,17,22,38,25,15,0,165
SAL21507,27,10,7,21,11,30,26,4,0,142
SAL21508,15,8,5,5,14,21,32,14,5,121
SAL21509,79,46,77,70,55,76,79,35,10,527
SAL21510,90,50,49,54,72,75,52,32,4,475
SAL21511,4,0,0,3,0,3,0,0,0,9
SAL21512,4,4,3,5,9,3,0,0,0,32
SAL21513,0,0,0,0,0,3,0,0,0,13
SAL21514,110,49,75,49,100,88,103,43,10,635
SAL21515,6,0,7,11,0,5,0,0,0,33
SAL21516,70,36,43,58,44,94,87,35,9,472
SAL21517,0,3,10,0,3,6,5,0,4,36
SAL21518,0,0,0,0,0,0,0,0,0,5
SAL21519,7,10,3,12,12,16,15,0,0,74
SAL21520,265,191,97,167,218,220,137,52,16,1353
SAL21521,8,4,6,0,18,8,11,5,0,62
SAL21522,12,0,7,4,3,9,8,0,0,42
SAL21523,115,43,76,67,92,137,121,40,4,707
SAL21524,44,39,26,31,130,271,324,129,17,1021
SAL21525,0,0,0,0,0,0,0,0,0,0
SAL21526,157,100,76,77,100,138,119,58,26,850
SAL21527,23,9,3,16,21,26,19,7,0,131
SAL21528,121,119,54,80,132,137,104,46,11,806
SAL21529,217,134,91,150,177,158,94,39,0,1052
SAL21530,0,3,0,0,3,6,3,4,0,24
SAL21531,18,0,9,5,10,9,13,5,4,59
SAL21532,26,11,11,20,28,31,23,14,0,159
SAL21533,48,52,25,50,58,56,45,10,0,343
SAL21534,633,433,502,379,378,381,379,239,89,3420
SAL21535,31,67,19,19,28,42,26,6,0,237
SAL21536,327,171,122,204,230,203,180,47,13,1489
SAL21537,131,54,37,76,91,90,65,25,4,570
SAL21538,565,244,413,328,245,307,210,106,24,2436
SAL21539,23,19,10,25,34,48,44,23,6,230
SAL21540,36,27,14,28,37,43,56,27,3,263
SAL21541,3,6,12,15,21,25,37,18,0,131
SAL21542,129,105,172,108,130,226,271,125,56,1327
SAL21543,3,0,0,0,0,0,0,4,0,8
